,0
364,3.8595029063944935e-05
365,4.0473760812873365e-05
366,1.5175869360983534e-05
367,4.8808589281573215e-05
368,2.0216205106644533e-05
369,2.871420855584196e-05
370,1.659146412163626e-05
371,3.211551713129184e-05
372,3.476868691701346e-05
373,3.366436170798353e-05
374,2.4346878148557187e-05
375,2.3720969329850256e-05
376,6.197647142697198e-05
377,2.868869966096218e-05
378,2.7885408842994027e-05
379,3.259604803611965e-05
380,4.222008493402786e-05
381,3.093096348933823e-05
382,5.35338682315632e-05
383,1.0613412146314601e-05
384,3.669246356966293e-05
385,3.207799497060959e-05
386,1.608178903939962e-05
387,5.2139183808007724e-05
388,2.4693374778146436e-05
389,2.021840173988852e-05
390,5.0191165065051784e-05
391,2.2337580028214084e-05
392,2.6200195689110363e-05
393,5.326002311328362e-05
394,3.246775323608732e-05
395,0.00011313119702294436
396,1.4549867548530455e-05
397,2.8176489045384317e-05
398,1.4460939643913866e-05
399,3.2780465243286755e-05
400,2.3800869869217648e-05
401,2.888025980707315e-05
402,2.3088573828241783e-05
403,4.2233344759192935e-05
404,2.8824526380253455e-05
405,3.863987152796476e-05
406,2.2431283348827836e-05
407,2.8297893761949423e-05
408,3.354725142757753e-05
409,3.961077824362461e-05
410,2.956252243650985e-05
411,3.647275627409239e-05
412,2.132889941973008e-05
413,3.341403113840134e-05
414,1.661371625222117e-05
415,5.140703550009238e-05
416,2.3381722492362722e-05
417,3.4149755953074384e-05
418,3.707285240624084e-05
419,2.6422554736124273e-05
420,4.8990019547965816e-05
421,1.8654146894094427e-05
422,4.84128695800773e-05
423,2.2265966669575313e-05
424,1.990519395334569e-05
425,2.5250910428607165e-05
426,3.441915839166095e-05
427,4.146583823630481e-05
428,4.8237003029166896e-05
429,4.442575983543941e-05
430,5.920630522398404e-05
431,3.35479139439686e-05
432,3.866914204405014e-05
433,2.294907014743018e-05
434,4.672179765429275e-05
435,3.861894355363151e-05
436,3.708441512251276e-05
437,2.3871298340134477e-05
438,3.2393557281735325e-05
439,2.1351952871610937e-05
440,1.4794640645710544e-05
441,4.460334080061882e-05
442,2.9048028470783667e-05
443,6.42784126651122e-05
444,2.898480918278562e-05
445,2.3178857693633378e-05
446,2.267064444198342e-05
447,2.9903787393172614e-05
448,2.060659854735124e-05
449,2.543275955629185e-05
450,3.669774471971953e-05
451,1.9948473205914607e-05
452,2.4905308592066454e-05
453,4.109719250338338e-05
454,4.067660241263877e-05
455,1.966004688102438e-05
456,3.923351902011317e-05
457,6.734974830386425e-05
458,3.339923109101443e-05
459,2.022273338518836e-05
460,1.98994834479611e-05
