,0
257,6.129244633162123e-05
258,1.8303685608586306e-05
259,2.487116328425056e-05
260,4.015328676944063e-05
261,1.8924685199736892e-05
262,3.196194912736954e-05
263,2.1157915451901568e-05
264,6.267140763259426e-05
265,2.8862220975878474e-05
266,6.655237665187848e-05
267,2.4034236082656758e-05
268,6.16649713762922e-05
269,1.77478947188046e-05
270,2.5758538701521125e-05
271,7.055946126346265e-05
272,3.376038693828176e-05
273,3.991132288483692e-05
274,1.5793953554246048e-05
275,2.013973000100184e-05
276,3.801565268788646e-05
277,2.9351329141100114e-05
278,2.6272026349060044e-05
279,2.7612294396725523e-05
280,3.019237937798354e-05
281,1.8796912936384117e-05
282,3.847498245359317e-05
283,2.9812437534634034e-05
284,2.9669453581821726e-05
285,1.5062765673509017e-05
286,1.7596087597956035e-05
287,2.0834585889094944e-05
288,2.3230086602111932e-05
289,2.1366673441025657e-05
290,2.376428757837858e-05
291,2.46868371679407e-05
292,3.201319911562202e-05
293,2.1249734479797656e-05
294,2.79487717257432e-05
295,3.762891677273236e-05
296,2.3837742736608903e-05
297,5.2902504618383e-05
298,2.8292105389297928e-05
299,2.067284037103284e-05
300,3.116134009269549e-05
301,4.6870588255911915e-05
302,3.012826844833302e-05
303,2.688934928646597e-05
304,4.042913705538625e-05
305,2.2160144331382642e-05
306,3.163157907269464e-05
307,2.8673313078818338e-05
308,1.797540853288799e-05
309,4.123527371398413e-05
310,2.8160666075644064e-05
311,6.967353981263866e-05
312,7.755983085872073e-05
313,2.388259476966016e-05
314,2.571814140703687e-05
315,2.422871495215609e-05
316,2.2433398369008303e-05
317,3.109447335635233e-05
318,7.378064868141674e-05
319,3.0897889105240426e-05
320,2.44673981535963e-05
321,4.223592421202447e-05
322,4.038865250775672e-05
323,2.749725166481556e-05
324,3.46727619000331e-05
325,2.9271899975875922e-05
326,6.076948367306411e-05
327,4.378891246713267e-05
328,2.4080063089372583e-05
329,1.4679411677987664e-05
330,2.9001854529400937e-05
331,1.3358078752783696e-05
332,2.9032500037156266e-05
333,6.940166089781656e-05
334,6.694255180228565e-05
335,7.743382597978792e-05
336,2.8431190764880817e-05
337,2.424460933299957e-05
338,3.422072082908934e-05
339,3.590094699641869e-05
340,2.474278497675169e-05
341,1.8567326263288972e-05
342,1.938486847774265e-05
343,2.4967488100456195e-05
344,3.182808562970282e-05
345,4.838805799085483e-05
346,2.7321789665188505e-05
347,3.6165188611116854e-05
348,2.8859122205038616e-05
349,2.5963397045227962e-05
350,3.2512055824608164e-05
351,2.829515305931157e-05
352,2.2188362816596565e-05
353,2.2959344594072066e-05
354,3.0787566105021674e-05
355,1.788960627617072e-05
356,1.9797000760952262e-05
357,2.664318385503673e-05
358,2.2633138033340263e-05
359,5.68252675313409e-05
360,3.31178552037695e-05
361,4.2014061035476005e-05
362,2.6547572771856588e-05
363,2.9319957749610358e-05
364,3.530620311277928e-05
365,3.48193972303744e-05
366,3.8507547454547836e-05
367,3.439115999387462e-05
368,2.5254571757715825e-05
369,3.510124697481919e-05
370,4.351062952023994e-05
371,3.5529727510172423e-05
372,3.729583622776423e-05
373,3.114033284358088e-05
374,2.2785093938871448e-05
375,2.8630980494561246e-05
376,1.2433776700563546e-05
377,2.7807492459057935e-05
378,1.661644787216496e-05
379,2.1093111109886384e-05
380,4.080745788661121e-05
381,4.819085712423042e-05
382,4.1625733002763435e-05
383,3.165052401089688e-05
384,3.4580195967277234e-05
385,3.57364542622494e-05
386,2.2806316562290668e-05
387,1.361772913959446e-05
388,5.423612859681821e-05
389,2.166086266051502e-05
390,1.8457012700309466e-05
391,2.653288495392085e-05
392,2.3650449258278988e-05
393,3.457568930342789e-05
394,2.0407245695399426e-05
395,2.429688337368668e-05
396,2.365129272519346e-05
397,2.5693258014123392e-05
398,3.751032856120914e-05
399,2.789700403934839e-05
400,3.113613056310786e-05
401,2.0547425622497717e-05
402,3.8205329590229055e-05
403,1.993943054471879e-05
404,2.9326117112274576e-05
405,1.5486084855129624e-05
406,2.4363809840630754e-05
407,8.314158158767173e-05
408,2.785702066124442e-05
409,7.825804459727936e-05
410,2.98695377712394e-05
411,1.595620209403379e-05
412,3.223741662132753e-05
413,5.3292652758408386e-05
414,3.196212728963515e-05
415,3.605853482906691e-05
416,6.508627585959639e-05
417,6.435610920059498e-05
418,3.314004627406563e-05
419,2.8890736225041942e-05
420,1.092949470289793e-05
421,2.404302697808846e-05
422,2.765036975613157e-05
423,1.8308583779809376e-05
424,2.52829101573284e-05
425,3.505318637995287e-05
426,1.9030879492517336e-05
427,2.043352023051797e-05
428,2.6326580193629202e-05
429,4.201420030585585e-05
430,2.559410683655244e-05
431,4.843622151518788e-05
432,6.882322740479942e-05
433,3.229288769650682e-05
434,3.326414657698445e-05
435,2.9894053137960502e-05
436,2.3170829750339997e-05
437,3.831830396571051e-05
438,2.148840353994094e-05
439,2.6572654185377187e-05
440,3.4708635101892105e-05
441,1.4248329299232381e-05
442,2.7266135093359286e-05
443,2.6431407505902044e-05
444,6.496201475219933e-05
445,3.231239830195953e-05
446,2.6413668065294826e-05
447,1.7062571907554995e-05
448,2.5681079368151923e-05
449,2.7407623443286735e-05
450,2.9033287915342858e-05
451,2.5089038222345807e-05
452,2.6308607465590616e-05
453,3.502359079520166e-05
454,3.1712529700838534e-05
455,3.1208530384172376e-05
456,1.7647212465543327e-05
457,5.930836441500922e-05
458,3.144594722858934e-05
459,1.843521834567036e-05
460,2.8375943694599636e-05
461,1.9045743876356547e-05
462,2.369811767182109e-05
463,2.9007024604001232e-05
464,2.152873314145065e-05
465,6.533338023127937e-05
466,2.258032067834291e-05
467,4.8787548486436213e-05
468,6.760741503880858e-05
469,1.6862177307293443e-05
470,3.449453793227819e-05
471,1.6237525373031253e-05
472,3.672286065799731e-05
473,2.943293695926638e-05
474,7.269548740975483e-05
475,2.902452778527127e-05
476,3.860455446588924e-05
477,1.8207355575306585e-05
478,2.114058011368842e-05
479,2.0194655542803573e-05
480,1.90256449678344e-05
481,2.51026236310069e-05
482,3.0332960073844407e-05
483,2.6409199948961235e-05
484,6.646306293527562e-05
485,5.325703804049279e-05
486,3.308857423592981e-05
487,2.0193256365022155e-05
488,2.715882622968881e-05
489,4.1130166781972924e-05
490,1.720734295918435e-05
491,2.781160580329654e-05
492,2.305746972634496e-05
493,2.50958084148861e-05
494,3.378346899206445e-05
495,2.5527817640174728e-05
496,1.6386423381599164e-05
497,2.2141595548271804e-05
498,2.5645707594914993e-05
499,1.4521749998058923e-05
